Index;Classement;Cha�ne;Abonn�s;Vues;Vid�os;Cat�gorie;Ann�e de cr�ation;Vues/vid�os;Vues/abonn�;Anciennet�;Abonn�s/an;Vues/an
270;271;Selena Gomez;32 500 000;12 371 602 129;188;Film & Animation;2008;65 806 394,30;380,66;17;1 911 764,71;727 741 301,71
271;272;Masha y el Oso;26 300 000;12 367 072 234;963;Film & Animation;2016;12 842 234,93;470,23;9;2 922 222,22;1 374 119 137,11
272;273;Geet MP3;33 800 000;12 326 155 433;630;Music;2016;19 565 326,08;364,68;9;3 755 555,56;1 369 572 825,89
273;274;YoungBoy Never Broke Again;12 200 000;12 319 098 703;590;Entertainment;2015;20 879 828,31;1 009,76;10;1 220 000,00;1 231 909 870,30
274;275;XO TEAM;12 400 000;12 161 624 272;2786;People & Blogs;2021;4 365 263,56;980,78;4;3 100 000,00;3 040 406 068,00
275;276;Atlantic Records;13 600 000;12 097 238 674;1544;Music;2006;7 834 999,14;889,50;19;715 789,47;636 696 772,32
276;277;AMARINTV : อมรินทร์ทีวี;16 700 000;12 078 065 051;104717;Entertainment;2014;115 340,06;723,24;11;1 518 181,82;1 098 005 913,73
277;278;Pitbull;16 100 000;12 071 886 355;335;Music;2006;36 035 481,66;749,81;19;847 368,42;635 362 439,74
278;279;CKN;18 600 000;12 030 471 541;474;Entertainment;2015;25 380 741,65;646,80;10;1 860 000,00;1 203 047 154,10
279;280;Indosiar;23 400 000;12 020 712 027;65623;Music;2013;183 178,34;513,71;12;1 950 000,00;1 001 726 002,25
280;281;AdeleVEVO;15 100 000;12 018 947 879;52;Music;2009;231 133 613,06;795,96;16;943 750,00;751 184 242,44
281;282;Topper Guild;14 000 000;11 997 319 531;644;Comedy;2014;18 629 378,15;856,95;11;1 272 727,27;1 090 665 411,91
282;283;東海オンエア;6 830 000;11 958 012 432;2657;Comedy;2013;4 500 569,23;1 750,81;12;569 166,67;996 501 036,00
283;284;Like Nastya AE;23 600 000;11 954 665 940;615;Entertainment;2018;19 438 481,20;506,55;7;3 371 428,57;1 707 809 420,00
284;285;Kaji Family;9 020 000;11 946 387 556;977;Entertainment;2016;12 227 622,88;1 324,43;9;1 002 222,22;1 327 376 395,11
285;286;As/Is;10 400 000;11 909 217 449;4824;People & Blogs;2013;2 468 743,25;1 145,12;12;866 666,67;992 434 787,42
286;287;OneDirectionVEVO;21 900 000;11 893 387 937;266;Music;2010;44 711 984,73;543,08;15;1 460 000,00;792 892 529,13
287;288;NichLmao;22 000 000;11 842 283 184;751;People & Blogs;2018;15 768 686,00;538,29;7;3 142 857,14;1 691 754 740,57
